full_name,thin_treat,yield_class,spacing,max_mai_age,period_end,top_ht,trees_ha,dbh,ba,vol_tree,vol_ha,trees_ha_THIN,dbh_THIN,ba_THIN,vol_tree_THIN,vol_ha_THIN,ba_CUM,vol_ha_CUM,perc_mort,mai
Poplar,No Thinning,10,7.3,39,34,31.6,185,48,33,1.84,340,NA,NA,NA,NA,NA,NA,NA,0,10
Poplar,No Thinning,10,7.3,39,39,33.3,185,50,37,2.11,391,NA,NA,NA,NA,NA,NA,NA,0,10
Poplar,No Thinning,10,7.3,39,44,34.6,185,52,40,2.33,432,NA,NA,NA,NA,NA,NA,NA,0,9.8
Poplar,No Thinning,10,7.3,39,49,35.5,185,54,42,2.5,463,NA,NA,NA,NA,NA,NA,NA,0,9.4
Poplar,No Thinning,10,7.3,39,54,36.2,185,55,44,2.63,486,NA,NA,NA,NA,NA,NA,NA,0,9
Poplar,No Thinning,10,7.3,39,59,36.7,185,56,45,2.73,506,NA,NA,NA,NA,NA,NA,NA,0,8.6
Poplar,No Thinning,12,7.3,38,8,12.3,185,18,5,0.13,23,NA,NA,NA,NA,NA,NA,NA,0,2.9
Poplar,No Thinning,12,7.3,38,13,18.3,185,27,11,0.42,77,NA,NA,NA,NA,NA,NA,NA,0,5.9
Poplar,No Thinning,12,7.3,38,18,23.5,185,35,18,0.83,153,NA,NA,NA,NA,NA,NA,NA,0,8.5
Poplar,No Thinning,12,7.3,38,23,27.8,185,42,25,1.29,239,NA,NA,NA,NA,NA,NA,NA,0,10.4
Poplar,No Thinning,12,7.3,38,28,31,185,47,32,1.74,322,NA,NA,NA,NA,NA,NA,NA,0,11.5
Poplar,No Thinning,12,7.3,38,33,33.5,185,51,37,2.14,396,NA,NA,NA,NA,NA,NA,NA,0,12
Poplar,No Thinning,12,7.3,38,38,35.4,185,54,42,2.47,456,NA,NA,NA,NA,NA,NA,NA,0,12
Poplar,No Thinning,12,7.3,38,43,36.8,185,56,45,2.73,505,NA,NA,NA,NA,NA,NA,NA,0,11.7
Poplar,No Thinning,12,7.3,38,48,37.8,185,57,48,2.94,543,NA,NA,NA,NA,NA,NA,NA,0,11.3
Poplar,No Thinning,12,7.3,38,53,38.5,185,59,50,3.09,572,NA,NA,NA,NA,NA,NA,NA,0,10.8
Poplar,No Thinning,12,7.3,38,58,39.1,185,60,51,3.21,593,NA,NA,NA,NA,NA,NA,NA,0,10.2
Poplar,No Thinning,14,7.3,37,7,11.8,185,17,4,0.11,21,NA,NA,NA,NA,NA,NA,NA,0,3
Poplar,No Thinning,14,7.3,37,12,18.5,185,27,11,0.43,79,NA,NA,NA,NA,NA,NA,NA,0,6.6
Poplar,No Thinning,14,7.3,37,17,24.2,185,36,19,0.89,164,NA,NA,NA,NA,NA,NA,NA,0,9.7
Poplar,No Thinning,14,7.3,37,22,28.8,185,43,27,1.42,263,NA,NA,NA,NA,NA,NA,NA,0,11.9
Poplar,No Thinning,14,7.3,37,27,32.4,185,49,35,1.95,360,NA,NA,NA,NA,NA,NA,NA,0,13.3
Poplar,No Thinning,14,7.3,37,32,35.1,185,53,41,2.41,447,NA,NA,NA,NA,NA,NA,NA,0,14
Poplar,No Thinning,14,7.3,37,37,37.2,185,56,46,2.8,518,NA,NA,NA,NA,NA,NA,NA,0,14
Poplar,No Thinning,14,7.3,37,42,38.7,185,59,50,3.11,576,NA,NA,NA,NA,NA,NA,NA,0,13.7
Poplar,No Thinning,14,7.3,37,47,39.8,185,61,53,3.36,621,NA,NA,NA,NA,NA,NA,NA,0,13.2
Poplar,No Thinning,14,7.3,37,52,40.6,185,62,56,3.54,656,NA,NA,NA,NA,NA,NA,NA,0,12.6
Poplar,No Thinning,14,7.3,37,57,41.3,185,63,58,3.68,682,NA,NA,NA,NA,NA,NA,NA,0,12
