YEAR,LAND_CLASS,FEATURENO,FEATURE,LOWER_ESTIMATE,MEAN_ESTIMATE,UPPER_ESTIMATE,LAND_CLASS_AREA
1998,10e,TOTAL,Total,117.86,136.36,157.41,13250.5
1998,10e,_1,Hedges,41.07,53.55,65.99,13250.5
1998,10e,_3,Wall,4.63,12.75,24.19,13250.5
1998,10e,_4,Line of Trees + Fence,6.75,9.17,11.77,13250.5
1998,10e,_5,Line of Trees,7.63,10.16,12.64,13250.5
1998,10e,_6,Bank/Grass Strip,0.5,1.65,3.16,13250.5
1998,10e,_7,Fence,40.05,48.66,58.56,13250.5
1998,11e,TOTAL,Total,54.77,64.14,73.29,8699
1998,11e,_1,Hedges,25.66,33.8,40.96,8699
1998,11e,_3,Wall,0.23,1.8,4.15,8699
1998,11e,_4,Line of Trees + Fence,1.38,2.09,2.91,8699
1998,11e,_5,Line of Trees,3.55,5.71,8.08,8699
1998,11e,_6,Bank/Grass Strip,0.41,1.09,1.92,8699
1998,11e,_7,Fence,14.88,19.72,24.59,8699
1998,12e,TOTAL,Total,10.77,14.3,18.09,3412.7
1998,12e,_1,Hedges,4.95,7.8,11.26,3412.7
1998,12e,_3,Wall,0,0.05,0.16,3412.7
1998,12e,_4,Line of Trees + Fence,0.17,0.31,0.47,3412.7
1998,12e,_5,Line of Trees,1.72,2.77,4.02,3412.7
1998,12e,_6,Bank/Grass Strip,0.15,0.37,0.74,3412.7
1998,12e,_7,Fence,1.33,2.66,4,3412.7
1998,13e,TOTAL,Total,30.04,41.55,53.29,4245.6
1998,13e,_1,Hedges,12.1,19.41,27.19,4245.6
1998,13e,_3,Wall,0,0.6,1.07,4245.6
1998,13e,_4,Line of Trees + Fence,0.52,1.46,2.45,4245.6
1998,13e,_5,Line of Trees,0.74,2.06,3.54,4245.6
1998,13e,_6,Bank/Grass Strip,0.18,1.03,1.98,4245.6
1998,13e,_7,Fence,11.93,17.16,22.38,4245.6
1998,13s,TOTAL,Total,14.18,17.79,21.53,2199.9
1998,13s,_1,Hedges,0.48,0.69,0.85,2199.9
1998,13s,_3,Wall,2.37,4.14,6.3,2199.9
1998,13s,_4,Line of Trees + Fence,0.77,1.02,1.27,2199.9
1998,13s,_5,Line of Trees,0.5,0.93,1.64,2199.9
1998,13s,_6,Bank/Grass Strip,0.37,0.79,1.37,2199.9
1998,13s,_7,Fence,6.62,10.21,14.36,2199.9
1998,15e,TOTAL,Total,12.8,12.81,14.5,1266.3
1998,15e,_1,Hedges,2.82,4.02,5.72,1266.3
1998,15e,_3,Wall,0,1.12,2.06,1266.3
1998,15e,_4,Line of Trees + Fence,0,0.86,0.98,1266.3
1998,15e,_5,Line of Trees,0.26,0.41,0.55,1266.3
1998,15e,_6,Bank/Grass Strip,0.05,0.61,0.63,1266.3
1998,15e,_7,Fence,5,5.48,10.46,1266.3
1998,15w,TOTAL,Total,27.25,30.49,33.69,2426.7
1998,15w,_1,Hedges,5.35,9.91,14.42,2426.7
1998,15w,_3,Wall,0,1.06,2.68,2426.7
1998,15w,_4,Line of Trees + Fence,3.35,5.25,7.19,2426.7
1998,15w,_5,Line of Trees,2.33,3.58,5.03,2426.7
1998,15w,_6,Bank/Grass Strip,1.34,2.58,3.92,2426.7
1998,15w,_7,Fence,5.9,7.88,9.73,2426.7
1998,16e,TOTAL,Total,33.53,39.46,45.28,3866
1998,16e,_1,Hedges,7.03,10.61,14.23,3866
1998,16e,_3,Wall,2.64,6.56,12.19,3866
1998,16e,_4,Line of Trees + Fence,1.45,2.26,3.2,3866
1998,16e,_5,Line of Trees,1.05,1.45,1.94,3866
1998,16e,_6,Bank/Grass Strip,0.16,0.96,2.06,3866
1998,16e,_7,Fence,14.59,17.73,20.61,3866
1998,17e,TOTAL,Total,24.18,33.68,45.67,3934
1998,17e,_1,Hedges,2.37,6.91,11.59,3934
1998,17e,_3,Wall,0.72,10.92,25.26,3934
1998,17e,_4,Line of Trees + Fence,0.71,2.58,4.65,3934
1998,17e,_5,Line of Trees,0.93,2.77,4.87,3934
1998,17e,_6,Bank/Grass Strip,0.55,1.84,3.6,3934
1998,17e,_7,Fence,4.47,8.21,12.18,3934
1998,17w1,TOTAL,Total,8.48,17.09,24.23,1941
1998,17w1,_1,Hedges,2.49,5.59,8.6,1941
1998,17w1,_3,Wall,0.37,1.45,2.71,1941
1998,17w1,_4,Line of Trees + Fence,0.66,1.99,3.24,1941
1998,17w1,_5,Line of Trees,0.15,0.93,1.79,1941
1998,17w1,_6,Bank/Grass Strip,0,0.79,1.01,1941
1998,17w1,_7,Fence,3.8,6.58,9.54,1941
1998,17w2,TOTAL,Total,25.19,34.09,42.88,4978
1998,17w2,_1,Hedges,2.52,7.07,14.36,4978
1998,17w2,_3,Wall,0.57,2,3.69,4978
1998,17w2,_4,Line of Trees + Fence,3.02,5.03,7.11,4978
1998,17w2,_5,Line of Trees,1.7,3.32,5.44,4978
1998,17w2,_6,Bank/Grass Strip,1.95,3.48,5.24,4978
1998,17w2,_7,Fence,11.06,14.74,16.33,4978
1998,17w3,TOTAL,Total,13.13,21.44,27.25,2082
1998,17w3,_1,Hedges,1.06,3.6,5.65,2082
