YEAR,LAND_CLASS,FEATURENO,FEATURE,LOWER_ESTIMATE,MEAN_ESTIMATE,UPPER_ESTIMATE,LAND_CLASS_AREA
1990,10e,TOTAL,Total,102.33,121.3,142.57,13250.5
1990,10e,_1,Hedges,35.33,49.13,62.59,13250.5
1990,10e,_3,Wall,4.01,10.75,19.43,13250.5
1990,10e,_4,Line of Trees + Fence,2.96,5.04,7.33,13250.5
1990,10e,_5,Line of Trees,3.51,5.64,8.19,13250.5
1990,10e,_6,Bank/Grass Strip,0.69,1.94,3.48,13250.5
1990,10e,_7,Fence,36.48,48.37,62.06,13250.5
1990,11e,TOTAL,Total,50.45,60.56,70.42,8699
1990,11e,_1,Hedges,27.34,36.04,43.05,8699
1990,11e,_3,Wall,0.21,2,4.53,8699
1990,11e,_4,Line of Trees + Fence,0.79,1.29,1.82,8699
1990,11e,_5,Line of Trees,1.89,2.97,4.23,8699
1990,11e,_6,Bank/Grass Strip,0.24,0.83,1.7,8699
1990,11e,_7,Fence,13.37,17.47,21.45,8699
1990,12e,TOTAL,Total,11.05,13.87,16.98,3412.7
1990,12e,_1,Hedges,4.99,8.23,11.73,3412.7
1990,12e,_3,Wall,0,0.05,0.16,3412.7
1990,12e,_4,Line of Trees + Fence,0.18,0.46,0.94,3412.7
1990,12e,_5,Line of Trees,1.33,2.15,3.01,3412.7
1990,12e,_6,Bank/Grass Strip,0,0.07,0.16,3412.7
1990,12e,_7,Fence,1.12,2.57,4.15,3412.7
1990,13e,TOTAL,Total,29.78,40.6,52.37,4245.6
1990,13e,_1,Hedges,12.11,19.72,27.45,4245.6
1990,13e,_3,Wall,0,0.59,1.09,4245.6
1990,13e,_4,Line of Trees + Fence,0.04,0.62,1.49,4245.6
1990,13e,_5,Line of Trees,0.23,1.47,3.05,4245.6
1990,13e,_6,Bank/Grass Strip,0.23,1.26,2.79,4245.6
1990,13e,_7,Fence,12.06,17.12,22.85,4245.6
1990,13s,TOTAL,Total,11.76,16.39,21.3,2199.9
1990,13s,_1,Hedges,0.48,1.05,1.6,2199.9
1990,13s,_3,Wall,2.19,5.28,8.99,2199.9
1990,13s,_4,Line of Trees + Fence,0.66,0.95,1.25,2199.9
1990,13s,_5,Line of Trees,0.57,0.99,1.46,2199.9
1990,13s,_6,Bank/Grass Strip,0.05,0.23,0.53,2199.9
1990,13s,_7,Fence,4.39,7.9,12.23,2199.9
1990,15e,TOTAL,Total,12.02,12.04,14.76,1266.3
1990,15e,_1,Hedges,3.36,4.91,6.89,1266.3
1990,15e,_3,Wall,-0.17,1.05,1.99,1266.3
1990,15e,_4,Line of Trees + Fence,-0.65,0.49,0.61,1266.3
