YEAR,LAND_CLASS,FEATURENO,FEATURE,LOWER_ESTIMATE,MEAN_ESTIMATE,UPPER_ESTIMATE,LAND_CLASS_AREA
1990,15e,_5,Line of Trees,0.41,0.75,1.06,1266.3
1990,15e,_6,Bank/Grass Strip,-1.09,0.05,0.1,1266.3
1990,15e,_7,Fence,4.55,5.03,9.5,1266.3
1990,15w,TOTAL,Total,23.77,28.72,33.43,2426.7
1990,15w,_1,Hedges,5.27,10.22,15.11,2426.7
1990,15w,_3,Wall,0.04,1.2,2.99,2426.7
1990,15w,_4,Line of Trees + Fence,2.07,3.77,5.92,2426.7
1990,15w,_5,Line of Trees,1.38,2.02,2.84,2426.7
1990,15w,_6,Bank/Grass Strip,1.19,3.56,6.64,2426.7
1990,15w,_7,Fence,5.51,7.72,10.14,2426.7
1990,16e,TOTAL,Total,32.89,38.81,44.56,3866
1990,16e,_1,Hedges,8.46,12.02,15.43,3866
1990,16e,_3,Wall,2.5,6.67,12.34,3866
1990,16e,_4,Line of Trees + Fence,0.76,1.17,1.59,3866
1990,16e,_5,Line of Trees,0.65,1.11,1.6,3866
1990,16e,_6,Bank/Grass Strip,-0.11,0.22,0.77,3866
1990,16e,_7,Fence,14.58,17.66,20.42,3866
1990,17e,TOTAL,Total,21.31,30.63,42.57,3934
1990,17e,_1,Hedges,2.12,6.08,10.36,3934
1990,17e,_3,Wall,0.78,11.61,26.54,3934
1990,17e,_4,Line of Trees + Fence,0.26,1.4,2.69,3934
1990,17e,_5,Line of Trees,0,1.17,2.89,3934
1990,17e,_6,Bank/Grass Strip,0.58,1.8,3.28,3934
1990,17e,_7,Fence,3.72,8.19,12.61,3934
1990,17w1,TOTAL,Total,4.23,13.25,20.23,1941
1990,17w1,_1,Hedges,2.27,5.02,7.68,1941
1990,17w1,_3,Wall,0.42,1.76,3.2,1941
1990,17w1,_4,Line of Trees + Fence,-0.53,1.2,2.92,1941
1990,17w1,_5,Line of Trees,0.25,0.89,1.54,1941
1990,17w1,_6,Bank/Grass Strip,-1.32,-0.21,-0.11,1941
1990,17w1,_7,Fence,2.14,5.24,8.35,1941
1990,17w2,TOTAL,Total,22.84,31.37,40.27,4978
1990,17w2,_1,Hedges,2.57,7.03,14.15,4978
1990,17w2,_3,Wall,0.75,2.71,4.64,4978
1990,17w2,_4,Line of Trees + Fence,1,3.31,5.94,4978
1990,17w2,_5,Line of Trees,0.37,1.92,3.9,4978
1990,17w2,_6,Bank/Grass Strip,1.19,3.12,5.69,4978
1990,17w2,_7,Fence,10.34,14.55,16.69,4978
1990,17w3,TOTAL,Total,12.52,20.48,25.84,2082
1990,17w3,_1,Hedges,1.44,3.83,5.76,2082
1990,17w3,_3,Wall,0.04,1.29,3.9,2082
1990,17w3,_4,Line of Trees + Fence,-0.04,0.32,0.79,2082
1990,17w3,_5,Line of Trees,0.11,0.23,0.35,2082
1990,17w3,_6,Bank/Grass Strip,0.04,1.1,2.12,2082
1990,17w3,_7,Fence,5.85,9.69,13.48,2082
1990,18e,TOTAL,Total,1,10.05,25.77,2024
1990,18e,_1,Hedges,0.16,0.59,1.23,2024
1990,18e,_3,Wall,2.35,8.17,14.78,2024
1990,18e,_4,Line of Trees + Fence,-0.02,0.24,0.68,2024
1990,18e,_5,Line of Trees,-0.11,0.37,1.56,2024
1990,18e,_6,Bank/Grass Strip,-0.09,0.08,0.19,2024
1990,18e,_7,Fence,1.51,4.45,7.46,2024
1990,18s,TOTAL,Total,2.26,6.74,11.49,3629.9
1990,18s,_1,Hedges,-0.39,-0.19,0,3629.9
1990,18s,_3,Wall,0,0.76,1.74,3629.9
1990,18s,_4,Line of Trees + Fence,0,0.89,1.79,3629.9
1990,18s,_5,Line of Trees,0,0.14,0.28,3629.9
1990,18s,_6,Bank/Grass Strip,0,0,0,3629.9
1990,18s,_7,Fence,1.6,5.27,8.89,3629.9
1990,18w,TOTAL,Total,9.43,13.77,15.18,1258
1990,18w,_1,Hedges,1.02,4.08,7.36,1258
1990,18w,_3,Wall,0.53,1.16,2.43,1258
1990,18w,_4,Line of Trees + Fence,0.51,1.49,2.24,1258
1990,18w,_5,Line of Trees,0.37,0.63,0.96,1258
1990,18w,_6,Bank/Grass Strip,0.28,0.57,0.7,1258
1990,18w,_7,Fence,3.24,3.92,11.28,1258
1990,19e,TOTAL,Total,35.86,44.36,51.12,5384
1990,19e,_1,Hedges,0.29,3.38,7.78,5384
1990,19e,_3,Wall,13.04,18.03,27.89,5384
1990,19e,_4,Line of Trees + Fence,0.39,1.95,3.84,5384
1990,19e,_5,Line of Trees,0.48,1.64,3.43,5384
1990,19e,_6,Bank/Grass Strip,-0.03,0.16,0.69,5384
1990,19e,_7,Fence,9.83,15.73,24.51,5384
1990,19s,TOTAL,Total,9.89,16.56,26.08,3214
1990,19s,_1,Hedges,-0.3,-0.11,0,3214
1990,19s,_3,Wall,2.09,4.27,6.44,3214
1990,19s,_4,Line of Trees + Fence,0,0.16,0.47,3214
1990,19s,_5,Line of Trees,0,0.49,0.89,3214
1990,19s,_6,Bank/Grass Strip,0.4,0.47,0.53,3214
1990,19s,_7,Fence,6.56,11.53,19.62,3214
1990,1e,TOTAL,Total,108.45,125.32,142.32,12422.3
1990,1e,_1,Hedges,48.12,62.86,76.71,12422.3
1990,1e,_3,Wall,0.11,0.45,0.9,12422.3
1990,1e,_4,Line of Trees + Fence,3.5,5.37,7.37,12422.3
1990,1e,_5,Line of Trees,4.04,7.62,13.91,12422.3
1990,1e,_6,Bank/Grass Strip,0.97,3.39,7.88,12422.3
1990,1e,_7,Fence,36.86,45.96,55.34,12422.3
1990,21s,TOTAL,Total,4.42,16.06,41.1,9706.4
1990,21s,_1,Hedges,0,0,0,9706.4
1990,21s,_3,Wall,0.02,1.95,4.2,9706.4
1990,21s,_4,Line of Trees + Fence,0,0,0,9706.4
1990,21s,_5,Line of Trees,0,0.46,1.29,9706.4
1990,21s,_6,Bank/Grass Strip,-0.03,-0.01,0,9706.4
1990,21s,_7,Fence,3.38,12.86,40.05,9706.4
1990,22e,TOTAL,Total,0.34,6.41,12.29,3305
1990,22e,_1,Hedges,0,0.05,0.16,3305
1990,22e,_3,Wall,0.34,4.68,11.03,3305
1990,22e,_4,Line of Trees + Fence,0,0.01,0.04,3305
1990,22e,_5,Line of Trees,-0.2,-0.04,0.07,3305
1990,22e,_6,Bank/Grass Strip,0,0.25,0.74,3305
1990,22e,_7,Fence,0.12,1.48,2.93,3305
1990,22s,TOTAL,Total,15.18,26.39,38.85,9249.3
1990,22s,_1,Hedges,0,0,0,9249.3
1990,22s,_3,Wall,3.23,9.39,18.49,9249.3
1990,22s,_4,Line of Trees + Fence,0,0,0,9249.3
1990,22s,_5,Line of Trees,-0.01,0.08,0.22,9249.3
1990,22s,_6,Bank/Grass Strip,-0.01,0.54,1.62,9249.3
1990,22s,_7,Fence,9.52,16.41,23.96,9249.3
1990,23e,TOTAL,Total,2.01,2.94,3.45,1041
1990,23e,_1,Hedges,0,0,0,1041
1990,23e,_3,Wall,2.01,2.47,2.91,1041
1990,23e,_4,Line of Trees + Fence,0,0,0,1041
1990,23e,_5,Line of Trees,0,0,0,1041
1990,23e,_6,Bank/Grass Strip,0,0,0,1041
1990,23e,_7,Fence,0,0.47,1.17,1041
1990,23s,TOTAL,Total,0.43,2.17,4.2,6066
1990,23s,_1,Hedges,0,0,0,6066
1990,23s,_3,Wall,0,0,0,6066
1990,23s,_4,Line of Trees + Fence,0,0,0,6066
1990,23s,_5,Line of Trees,0,0,0,6066
1990,23s,_6,Bank/Grass Strip,0,0,0,6066
1990,23s,_7,Fence,0.43,2.17,4.2,6066
1990,24s,TOTAL,Total,3.48,6.38,9.7,7008.7
1990,24s,_1,Hedges,0,0,0,7008.7
1990,24s,_3,Wall,0,0.16,0.46,7008.7
1990,24s,_4,Line of Trees + Fence,0,0,0,7008.7
1990,24s,_5,Line of Trees,0,0.18,0.55,7008.7
1990,24s,_6,Bank/Grass Strip,0,0,0,7008.7
1990,24s,_7,Fence,3.31,6.04,9.18,7008.7
1990,25e,TOTAL,Total,21.99,25.92,30.26,2917.4
1990,25e,_1,Hedges,2.08,6.53,11.02,2917.4
1990,25e,_3,Wall,2.06,6.19,10.3,2917.4
1990,25e,_4,Line of Trees + Fence,-0.19,0.49,1.38,2917.4
1990,25e,_5,Line of Trees,0.12,0.37,0.66,2917.4
1990,25e,_6,Bank/Grass Strip,-1.95,0.74,1.72,2917.4
1990,25e,_7,Fence,7.59,11.15,14.41,2917.4
1990,25s,TOTAL,Total,62.01,77.5,93.38,8545.1
1990,25s,_1,Hedges,2.32,6.87,12.68,8545.1
1990,25s,_3,Wall,4.87,13.78,26.79,8545.1
1990,25s,_4,Line of Trees + Fence,1.5,3.02,4.69,8545.1
1990,25s,_5,Line of Trees,2.26,3.94,5.97,8545.1
1990,25s,_6,Bank/Grass Strip,0,0.1,0.31,8545.1
1990,25s,_7,Fence,36.74,49.45,64.35,8545.1
1990,26s,TOTAL,Total,41.15,49.39,56.37,5262
1990,26s,_1,Hedges,2.6,6.17,10.81,5262
1990,26s,_3,Wall,5.29,9.37,14.23,5262
1990,26s,_4,Line of Trees + Fence,0.42,1.07,1.86,5262
1990,26s,_5,Line of Trees,0.75,1.74,2.92,5262
1990,26s,_6,Bank/Grass Strip,0,0.31,0.85,5262
1990,26s,_7,Fence,24.27,30.73,38.33,5262
1990,27s,TOTAL,Total,42.51,50.33,56.98,5619.9
1990,27s,_1,Hedges,2.03,5.52,9.59,5619.9
1990,27s,_3,Wall,8.78,16.07,25.51,5619.9
1990,27s,_4,Line of Trees + Fence,0.5,1.08,1.68,5619.9
1990,27s,_5,Line of Trees,0.74,2.08,3.9,5619.9
1990,27s,_6,Bank/Grass Strip,0.12,0.54,1.07,5619.9
1990,27s,_7,Fence,16.85,24.74,32.68,5619.9
1990,28s,TOTAL,Total,16.29,30.6,43.73,6411.4
1990,28s,_1,Hedges,0,1.02,3.13,6411.4
1990,28s,_3,Wall,0.66,5.94,12.74,6411.4
1990,28s,_4,Line of Trees + Fence,0.52,1.67,2.96,6411.4
1990,28s,_5,Line of Trees,0.25,1.31,2.94,6411.4
1990,28s,_6,Bank/Grass Strip,0,0.16,0.32,6411.4
1990,28s,_7,Fence,10.07,19.67,28.5,6411.4
1990,29s,TOTAL,Total,4.43,11.71,20.28,3043.3
1990,29s,_1,Hedges,0,0,0,3043.3
1990,29s,_3,Wall,1.06,4.36,8.54,3043.3
1990,29s,_4,Line of Trees + Fence,0,0.12,0.41,3043.3
1990,29s,_5,Line of Trees,0.01,0.21,0.57,3043.3
1990,29s,_6,Bank/Grass Strip,0,0.12,0.42,3043.3
1990,29s,_7,Fence,2.62,6.92,12.51,3043.3
1990,2e,TOTAL,Total,87.91,106.57,126.72,14023.9
1990,2e,_1,Hedges,27.16,40.08,55.06,14023.9
1990,2e,_3,Wall,0,4.7,11.37,14023.9
1990,2e,_4,Line of Trees + Fence,3.11,4.9,7.01,14023.9
1990,2e,_5,Line of Trees,2.08,3.47,4.9,14023.9
1990,2e,_6,Bank/Grass Strip,1.54,4.36,7.55,14023.9
1990,2e,_7,Fence,43.05,54.2,66.15,14023.9
1990,30s,TOTAL,Total,2.82,8.42,15.87,3649.5
1990,30s,_1,Hedges,0,0,0,3649.5
1990,30s,_3,Wall,0.22,2.88,7.57,3649.5
1990,30s,_4,Line of Trees + Fence,0,0,0,3649.5
1990,30s,_5,Line of Trees,0,0.01,0.04,3649.5
1990,30s,_6,Bank/Grass Strip,0.07,0.74,1.67,3649.5
1990,30s,_7,Fence,1.71,4.76,8.47,3649.5
1990,31s,TOTAL,Total,6.16,13.72,21.91,1918.4
1990,31s,_1,Hedges,0,0.19,0.6,1918.4
1990,31s,_3,Wall,0.86,2.39,3.95,1918.4
1990,31s,_4,Line of Trees + Fence,0,0,0,1918.4
1990,31s,_5,Line of Trees,0,0.07,0.23,1918.4
1990,31s,_6,Bank/Grass Strip,0,0.01,0.04,1918.4
1990,31s,_7,Fence,4.32,11.06,18.56,1918.4
1990,32s,TOTAL,Total,7.99,13.19,20.03,3680.1
1990,32s,_1,Hedges,0,0.05,0.17,3680.1
1990,32s,_3,Wall,0,1.18,5.01,3680.1
1990,32s,_4,Line of Trees + Fence,0,0,0,3680.1
1990,32s,_5,Line of Trees,0,0,0,3680.1
1990,32s,_6,Bank/Grass Strip,0,0.22,1.08,3680.1
1990,32s,_7,Fence,6.81,11.01,15.94,3680.1
1990,3e,TOTAL,Total,89.36,103.26,119.06,15337.8
1990,3e,_1,Hedges,49.07,59.96,70.68,15337.8
1990,3e,_3,Wall,0,0.26,0.76,15337.8
1990,3e,_4,Line of Trees + Fence,1.61,2.98,4.52,15337.8
1990,3e,_5,Line of Trees,6.41,9.88,14.01,15337.8
1990,3e,_6,Bank/Grass Strip,0.69,1.25,2.01,15337.8
1990,3e,_7,Fence,19.34,28.98,39.35,15337.8
1990,4e,TOTAL,Total,15.18,31.21,49.82,8044.4
1990,4e,_1,Hedges,7.04,13.41,20.37,8044.4
1990,4e,_3,Wall,0,0.09,0.26,8044.4
1990,4e,_4,Line of Trees + Fence,-1.06,1.31,4.91,8044.4
1990,4e,_5,Line of Trees,-0.5,0.43,1.11,8044.4
1990,4e,_6,Bank/Grass Strip,0.2,2.01,3.96,8044.4
1990,4e,_7,Fence,6.01,18.11,35.16,8044.4
1990,5e,TOTAL,Total,14.38,19.57,24.74,2375.6
1990,5e,_1,Hedges,7.99,9.9,11.82,2375.6
1990,5e,_3,Wall,0.13,0.13,0.25,2375.6
1990,5e,_4,Line of Trees + Fence,0.06,0.77,1.49,2375.6
1990,5e,_5,Line of Trees,1.26,1.56,1.89,2375.6
1990,5e,_6,Bank/Grass Strip,0.41,0.57,0.72,2375.6
1990,5e,_7,Fence,4.3,6.64,8.9,2375.6
1990,5w,TOTAL,Total,37.49,44.24,50.65,4323.6
1990,5w,_1,Hedges,12.79,16.36,20.23,4323.6
1990,5w,_3,Wall,-0.05,0.98,2.18,4323.6
1990,5w,_4,Line of Trees + Fence,1.27,3.87,6.66,4323.6
1990,5w,_5,Line of Trees,2.25,4.44,6.76,4323.6
1990,5w,_6,Bank/Grass Strip,0.25,1.81,2.97,4323.6
1990,5w,_7,Fence,13.08,16.64,19.94,4323.6
1990,6e,TOTAL,Total,58.31,73.74,93.77,7176.6
1990,6e,_1,Hedges,33.25,45.84,59.79,7176.6
1990,6e,_3,Wall,0,0.24,0.56,7176.6
1990,6e,_4,Line of Trees + Fence,1.37,2.9,4.81,7176.6
1990,6e,_5,Line of Trees,1.64,2.56,3.66,7176.6
1990,6e,_6,Bank/Grass Strip,5.12,12.88,23.18,7176.6
1990,6e,_7,Fence,12.33,17.78,23.93,7176.6
1990,6w,TOTAL,Total,21.36,26.31,32.3,2686.6
1990,6w,_1,Hedges,4.06,9.22,13.24,2686.6
1990,6w,_3,Wall,0.07,1.31,3.39,2686.6
1990,6w,_4,Line of Trees + Fence,0.51,1.71,3.15,2686.6
1990,6w,_5,Line of Trees,0.78,1.51,2.41,2686.6
1990,6w,_6,Bank/Grass Strip,1.06,5,10.74,2686.6
1990,6w,_7,Fence,6.26,7.92,9.45,2686.6
1990,7e,TOTAL,Total,6.09,9.1,12.17,1435.5
1990,7e,_1,Hedges,1.05,2.78,5.33,1435.5
1990,7e,_3,Wall,0.17,1.53,3.84,1435.5
1990,7e,_4,Line of Trees + Fence,-0.01,0.09,0.2,1435.5
1990,7e,_5,Line of Trees,0.21,0.76,1.46,1435.5
1990,7e,_6,Bank/Grass Strip,0.18,1.23,2.63,1435.5
1990,7e,_7,Fence,1.73,2.76,3.96,1435.5
1990,7s,TOTAL,Total,4.69,5.95,6.99,645.9
1990,7s,_1,Hedges,0.34,0.62,0.92,645.9
1990,7s,_3,Wall,1.07,1.73,2.57,645.9
1990,7s,_4,Line of Trees + Fence,0,0.02,0.04,645.9
1990,7s,_5,Line of Trees,0.33,0.44,0.65,645.9
1990,7s,_6,Bank/Grass Strip,-0.04,-0.01,0,645.9
1990,7s,_7,Fence,1.84,3.14,4.28,645.9
1990,7w,TOTAL,Total,14.06,16.54,19.61,1395.5
1990,7w,_1,Hedges,0.03,2.36,5.42,1395.5
1990,7w,_3,Wall,0.3,1.97,4.79,1395.5
1990,7w,_4,Line of Trees + Fence,0.06,1.47,2.94,1395.5
1990,7w,_5,Line of Trees,0.14,0.62,1.2,1395.5
1990,7w,_6,Bank/Grass Strip,1.27,3.88,7.67,1395.5
1990,7w,_7,Fence,3.35,6.17,9.37,1395.5
1990,8e,TOTAL,Total,8.17,13.05,18.29,2812.1
1990,8e,_1,Hedges,1.81,5.68,9.92,2812.1
1990,8e,_3,Wall,0,0.3,0.9,2812.1
1990,8e,_4,Line of Trees + Fence,0.05,0.23,0.5,2812.1
1990,8e,_5,Line of Trees,0.08,0.27,0.52,2812.1
1990,8e,_6,Bank/Grass Strip,0.07,0.38,0.79,2812.1
1990,8e,_7,Fence,3.3,6.2,9.75,2812.1
1990,9e,TOTAL,Total,50.19,61.04,70.65,10310.7
1990,9e,_1,Hedges,25.75,39.02,50.99,10310.7
1990,9e,_3,Wall,0.03,0.77,2.06,10310.7
1990,9e,_4,Line of Trees + Fence,0.44,1.14,2,10310.7
1990,9e,_5,Line of Trees,1.53,2.71,3.86,10310.7
1990,9e,_6,Bank/Grass Strip,0.28,1.08,2.12,10310.7
1990,9e,_7,Fence,12.64,18.1,23.64,10310.7
